treatment,duration,price,note
"Pilates - 4 clases","60'",46800,"Pilates"
"Pilates - 8 clases","60'",55900,"Pilates"
"Pilates - 12 clases","60'",59900,"Pilates"
"Pilates - 20 clases","60'",65800,"Pilates"
"Facial Básico","-",34200,"Faciales"
"Facial anti-age","-",42400,"Faciales"
"Dermapen","-",48900,"Faciales"
"Peeling","-",45800,"Faciales"
"Manicura Semipermanente","-",20600,"Manos y Pies"
"Pedicura Semipermanente","-",20450,"Manos y Pies"
"Kapping","-",25200,"Manos y Pies"
"Soft Gel","-",28300,"Manos y Pies"
"Combo corporal 8 sesiones","-",278200,"Estética Corporal"
"Maderoterapia 8 sesiones","50'",260900,"Estética Corporal"
"Drenaje Linfático","50'",37800,"Estética Corporal"
"Masaje Descontracturante","50'",32500,"Estética Corporal"
"4 sesiones corporal + 4 sesiones maderoterapia + 2 sesiones vela slim","50'",389200,"Combos"
"Vela slim 1 sesión 2 zonas","50'",45800,"Combos"
"Piernas completas + cavado + axilas + tiro de cola","50'",39200,"Definitiva"
"Media Pierna + cavado + axilas","50'",33580,"Definitiva"
"Cavado + axilas","-",24200,"Definitiva"
"Cavado + tiro","-",26900,"Definitiva"
"Pecho + abdomen + espalda + brazos + piernas","-",49300,"Definitiva"
"Pecho + abdomen + espalda","-",26900,"Definitiva"
"Pecho + abdomen + brazos","-",29700,"Definitiva"
"Cuerpo completo hombres","-",57200,"Definitiva"
"Perfilado de Cejas","-",19800,"Cejas y Pestañas"
"Perfilado + laminado de cejas","-",26900,"Cejas y Pestañas"
"Lifting de pestañas con tinta","-",35800,"Cejas y Pestañas"
"Microblading","-",120800,"Cejas y Pestañas"
"Delineado de labios","-",120900,"Cejas y Pestañas"
"Delineado de ojos","-",123700,"Cejas y Pestañas"
